iter	Logloss
216	0.3569413102
217	0.356715103
218	0.3565334595
219	0.3557392267
220	0.355573871
221	0.3552631211
222	0.3549161546
223	0.3548334723
224	0.3546212171
225	0.3543547087
226	0.3540830899
227	0.3539078153
228	0.3538289825
229	0.3536320831
230	0.3534582439
231	0.3533031588
232	0.3530492452
233	0.3527632544
234	0.3526331105
235	0.3525319014
236	0.3523709114
237	0.352291798
238	0.3521285932
239	0.3518991661
240	0.3516352922
241	0.3514423857
242	0.3512858269
243	0.3511865218
244	0.3509988782
245	0.3507181031
246	0.3505822753
247	0.3504482278
248	0.3503356647
249	0.3501817705
250	0.3500124896
251	0.3498113812
252	0.3494831898
253	0.3493462398
254	0.3491924725
255	0.3490395706
256	0.3488743827
257	0.3486379011
258	0.3483657427
259	0.3481061738
260	0.3480256243
261	0.3478321922
262	0.3475893086
263	0.3473574007
264	0.3472591651
265	0.347080113
266	0.3469634693
267	0.3468730685
268	0.3467544032
269	0.3466341115
270	0.3464417728
271	0.3463001866
272	0.345909801
273	0.3456190381
274	0.3454691205
275	0.3450168928
276	0.3449044257
277	0.3448031956
278	0.3446959835
279	0.3444902538
280	0.3443030738
281	0.3440407906
282	0.3438972105
283	0.3437353332
284	0.3435867896
285	0.3434686375
286	0.343231222
287	0.3431222543
288	0.3427601251
289	0.3425915369
290	0.3422381401
291	0.3420997052
292	0.3419105433
293	0.3417552606
294	0.3416329433
295	0.3415403886
296	0.3411695327
297	0.3409706304
298	0.3408535543
299	0.3407243609
300	0.3403206043
301	0.3401259821
302	0.3400266397
303	0.3399359344
304	0.3394559686
305	0.3393728867
306	0.3390422586
307	0.3388444622
308	0.3385734335
309	0.3384914269
310	0.3383631162
311	0.3382710577
312	0.3380844141
313	0.3380079017
314	0.3378849054
315	0.337769467
316	0.3376411186
317	0.3374906754
318	0.3373695072
319	0.3372528494
320	0.3369185134
321	0.3366497196
322	0.3365675224
323	0.3363804631
324	0.3362385484
325	0.3358749477
326	0.3357017153
327	0.3354436099
328	0.335348581
329	0.3352415798
330	0.3350968527
331	0.3349918835
332	0.3348831424
333	0.3347780692
334	0.3346104652
335	0.334505903
336	0.3344357792
337	0.3342498716
338	0.33409977
339	0.3339974198
340	0.3335973043
341	0.3334313102
342	0.3333050256
343	0.3331578473
344	0.3330474868
345	0.3329618754
346	0.3326927386
347	0.3324458995
348	0.3323416496
349	0.332206906
350	0.3320815825
351	0.33189963
352	0.331516276
353	0.3313814205
354	0.3311799425
355	0.331035682
356	0.3308425277
357	0.3307359027
358	0.3303950394
359	0.3302338777
360	0.3301549571
361	0.3300592428
362	0.3299627656
363	0.3297726126
364	0.3295336644
365	0.3291261143
366	0.3289866429
367	0.3288719059
368	0.3287487672
369	0.3284875205
370	0.3283495082
371	0.3282554807
372	0.3281957399
373	0.3281202887
374	0.327841176
375	0.3277591786
376	0.3277114294
377	0.3276189733
378	0.3275255489
379	0.3274705591
380	0.3273287253
381	0.3272051357
382	0.3269709103
383	0.3269081253
384	0.3267794793
385	0.3266008718
386	0.326462004
387	0.326324375
388	0.3262584082
389	0.3262130522
390	0.3261190541
391	0.3258920715
392	0.3257206731
393	0.3256418536
394	0.3255649938
395	0.3253896846
396	0.325301696
397	0.3251718289
398	0.3250323151
399	0.3249033023
400	0.3247309931
401	0.3246295781
402	0.324559996
403	0.3244923894
404	0.3244178717
405	0.3242710232
406	0.3241500695
407	0.3239958507
408	0.3238074601
409	0.3235180585
410	0.3233587402
411	0.3232988462
412	0.3230785063
413	0.3229682392
414	0.3228685422
415	0.3227529008
416	0.3226694725
417	0.3226024745
418	0.3223670579
419	0.3222562028
420	0.3221636119
421	0.3219742932
422	0.3219244468
423	0.3218395192
424	0.3217329367
425	0.3215399283
426	0.3214834
427	0.3213937848
428	0.3212863242
429	0.3211528942
430	0.3211007973
431	0.3210106955
432	0.3208699246
433	0.320754701
434	0.3205874582
435	0.3204882305
436	0.3204004493
437	0.3202905945
438	0.3202026608
439	0.3200988887
440	0.3199904018
441	0.3199473247
442	0.3198361541
443	0.3197834086
444	0.3196985888
445	0.3196191113
446	0.3195618803
447	0.3194775806
448	0.3193863957
449	0.3193232683
450	0.3192653147
451	0.3191911768
452	0.3190712518
453	0.3189878295
454	0.3188617152
455	0.3186429159
456	0.318582903
457	0.3184381607
458	0.3183625314
459	0.3182920775
460	0.3182171497
461	0.318119553
462	0.3180246587
463	0.3179645679
464	0.3178716282
465	0.3177665856
466	0.3177246588
467	0.3176470501
468	0.3175540807
469	0.3174201886
470	0.3173111651
471	0.3172572196
472	0.317128207
473	0.3169657119
474	0.3168605705
475	0.3168171549
476	0.3167616906
477	0.3167034232
478	0.3165910617
479	0.3164781944
480	0.3163458674
481	0.3162717706
482	0.3160754991
483	0.3159596035
484	0.3158256942
485	0.3157054697
486	0.3156128059
487	0.3155452384
488	0.3154773178
489	0.3153387465
490	0.3152553801
491	0.3151981184
492	0.3151169875
493	0.3150652017
494	0.3150054617
495	0.3149552546
496	0.3148581919
497	0.3147390803
498	0.3146780858
499	0.3146266601
