iter	Logloss
0	0.6741237482
1	0.6546031212
2	0.6390870342
3	0.6260016906
4	0.6142796298
5	0.6025431617
6	0.5903958099
7	0.5807384807
8	0.5707735513
9	0.5621472315
10	0.5553823321
11	0.5483980419
12	0.5413596698
13	0.53460087
14	0.5284325688
15	0.5234846119
16	0.5182358188
17	0.5133307304
18	0.5090739852
19	0.5049783946
20	0.5015735924
21	0.4987563232
22	0.4951000104
23	0.4913386963
24	0.4887105488
25	0.4851996253
26	0.4819552742
27	0.4793853952
28	0.4768638518
29	0.4746641508
30	0.4718605795
31	0.4695740028
32	0.467280737
33	0.4660896987
34	0.4644139085
35	0.4626568263
36	0.4610246419
37	0.4590756346
38	0.4574004991
39	0.4560401406
40	0.4545994459
41	0.4517364515
42	0.4497773531
43	0.4481097398
44	0.4469124663
45	0.4458351535
46	0.4438603273
47	0.4419105298
48	0.4410733849
49	0.4400031712
50	0.4378945901
51	0.436540798
52	0.4351393509
53	0.4341713113
54	0.4325569735
55	0.4309157945
56	0.4299054285
57	0.4282654282
58	0.4277893515
59	0.427156941
60	0.42594948
61	0.4255411753
62	0.4243077553
63	0.4235385484
64	0.4223474126
65	0.4206156937
66	0.4197557186
67	0.4191948937
68	0.4177254913
69	0.4167717522
70	0.4157001756
71	0.4152322754
72	0.4143401649
73	0.4139053487
74	0.4133966294
75	0.4120429259
76	0.4115874543
77	0.4105373305
78	0.4095747011
79	0.4090498412
80	0.4085052901
81	0.4079174816
82	0.4074294809
83	0.4066081125
84	0.4058873151
85	0.4050367846
86	0.4039354598
87	0.4035428777
88	0.4017697839
89	0.4009586692
90	0.4006028528
91	0.3990555558
92	0.3986291747
93	0.3981857411
94	0.3974172279
95	0.3966925797
96	0.3962682994
97	0.3959899022
98	0.3957342933
99	0.3952573092
100	0.3945975358
101	0.3941280826
102	0.3936423161
103	0.3934095465
104	0.3931193175
105	0.392550286
106	0.3922368731
107	0.3918606339
108	0.3913369137
109	0.3910258159
110	0.39082562
111	0.3904606978
112	0.390191684
113	0.388766912
114	0.3880758634
115	0.3877106261
116	0.3871747429
117	0.3865679943
118	0.3864154411
119	0.385859273
120	0.3848359997
121	0.3845801097
122	0.3841024746
123	0.3839041714
124	0.3832830011
125	0.3830579351
126	0.382674616
127	0.3822196164
128	0.381902243
129	0.3815787871
130	0.3813145915
131	0.3809573547
132	0.3807787556
133	0.3805276665
134	0.3801022806
135	0.3796569069
136	0.3792994473
137	0.3788118786
138	0.3786554212
139	0.3784479915
140	0.3780808229
141	0.3777477017
142	0.3775843149
143	0.3773559085
144	0.3771754419
145	0.3770068502
146	0.3768367918
147	0.3759474412
148	0.3755285261
149	0.3753953551
150	0.3750982289
151	0.374817293
152	0.3745251614
153	0.3741997885
154	0.373573253
155	0.3732572856
156	0.3725156626
157	0.3718937945
158	0.3716878037
159	0.3714088579
160	0.3711230649
161	0.3708201275
162	0.370617347
163	0.3701516792
164	0.3699909687
165	0.3696833133
166	0.3695174499
167	0.3693065083
168	0.3690930816
169	0.3688912263
170	0.3684754306
171	0.3683378823
172	0.3680754788
173	0.3679449827
174	0.3678113292
175	0.3676304773
176	0.3674643848
177	0.3670138433
178	0.3668540115
179	0.366761703
180	0.3664669894
181	0.3662019869
182	0.3660576274
183	0.36550351
184	0.3653658608
185	0.3652577184
186	0.3649724631
187	0.3647775797
188	0.3641175135
189	0.3638994979
190	0.3637765594
191	0.3635542341
192	0.3633499608
193	0.3631457967
194	0.3630115046
195	0.362390521
196	0.3621646285
197	0.361927608
198	0.3616512283
199	0.3611876053
200	0.36102335
201	0.3607826775
202	0.3605138569
203	0.3604032376
204	0.3601804306
205	0.3600116324
206	0.3598317955
207	0.3592540782
208	0.3590770498
209	0.3586841667
210	0.3582780003
211	0.3581926102
212	0.3578118835
213	0.3574710936
214	0.3572261319
215	0.3570960251
